Index,date,volume,rate,prediction
1,2018-02-01,9959400448,9170.54,Fear
2,2018-02-02,12726899712,8830.75,Extreme Fear
3,2018-02-03,7263790080,9174.91,Fear
4,2018-02-04,7073549824,8277.01,Extreme Fear
5,2018-02-05,9285289984,6955.27,Extreme Fear
6,2018-02-06,13999800320,7754.00,Extreme Fear
7,2018-02-07,9169280000,7621.30,Fear
8,2018-02-08,9346750464,8265.59,Fear
9,2018-02-09,6784820224,8736.98,Fear
10,2018-02-10,7780960256,8621.90,Neutral
11,2018-02-11,6122189824,8129.97,Fear
12,2018-02-12,6256439808,8926.57,Fear
13,2018-02-13,5696719872,8598.31,Fear
14,2018-02-14,7909819904,9494.63,Greed
15,2018-02-15,9062540288,10166.40,Greed
16,2018-02-16,7296159744,10233.90,Greed
17,2018-02-17,8660880384,11112.70,Greed
18,2018-02-18,8744009728,10551.80,Greed
19,2018-02-19,7652089856,11225.30,Greed
20,2018-02-20,9926540288,11403.70,Greed
21,2018-02-21,9405339648,10690.40,Neutral
22,2018-02-22,8040079872,10005.00,Fear
23,2018-02-23,7739500032,10301.10,Fear
24,2018-02-24,6917929984,9813.07,Fear
25,2018-02-25,5706939904,9664.73,Fear
26,2018-02-26,7287690240,10366.70,Fear
27,2018-02-27,6966179840,10725.60,Fear
28,2018-02-28,6936189952,10397.90,Fear
29,2018-03-01,7317279744,10951.00,Fear
30,2018-03-02,7620590080,11086.40,Neutral
31,2018-03-03,6690570240,11489.70,Greed
32,2018-03-04,6084149760,11512.60,Fear
33,2018-03-05,6468539904,11573.30,Greed
34,2018-03-06,6832169984,10779.90,Greed
35,2018-03-07,8797910016,9965.57,Fear
36,2018-03-08,7186089984,9395.01,Fear
37,2018-03-09,8704190464,9337.55,Fear
38,2018-03-10,5386319872,8866.00,Fear
39,2018-03-11,6296370176,9578.63,Fear
40,2018-03-12,6457399808,9205.12,Fear
41,2018-03-13,5991139840,9194.85,Fear
42,2018-03-14,6438230016,8269.81,Fear
43,2018-03-15,6834429952,8300.86,Fear
44,2018-03-16,5289379840,8338.35,Fear
45,2018-03-17,4426149888,7916.88,Fear
46,2018-03-18,6639190016,8223.68,Fear
47,2018-03-19,6729110016,8630.65,Fear
48,2018-03-20,6361789952,8913.47,Fear
49,2018-03-21,6043129856,8929.28,Fear
50,2018-03-22,5530390016,8728.47,Fear
51,2018-03-23,5954120192,8879.62,Fear
52,2018-03-24,5664600064,8668.12,Fear
53,2018-03-25,4569880064,8495.78,Fear
54,2018-03-26,5921039872,8209.40,Fear
55,2018-03-27,5378250240,7833.04,Extreme Fear
56,2018-03-28,4935289856,7954.48,Extreme Fear
57,2018-03-29,6361229824,7165.70,Extreme Fear
58,2018-03-30,6289509888,6890.52,Extreme Fear
59,2018-03-31,4553269760,6973.53,Extreme Fear
60,2018-04-01,4532100096,6844.23,Extreme Fear
61,2018-04-02,4333440000,7083.80,Extreme Fear
62,2018-04-03,5499700224,7456.11,Extreme Fear
63,2018-04-04,4936000000,6853.84,Extreme Fear
64,2018-04-05,5639320064,6811.47,Extreme Fear
65,2018-04-06,3766810112,6636.32,Extreme Fear
66,2018-04-07,3976610048,6911.09,Extreme Fear
67,2018-04-08,3652499968,7023.52,Extreme Fear
68,2018-04-09,4894060032,6770.73,Extreme Fear
69,2018-04-10,4272750080,6834.76,Extreme Fear
70,2018-04-11,4641889792,6968.32,Extreme Fear
71,2018-04-12,8906250240,7889.25,Extreme Fear
72,2018-04-13,7764460032,7895.96,Extreme Fear
73,2018-04-14,5191430144,7986.24,Fear
74,2018-04-15,5244480000,8329.11,Fear
75,2018-04-16,5631309824,8058.67,Fear
76,2018-04-17,6900879872,7902.09,Fear
77,2018-04-18,6529909760,8163.42,Extreme Fear
78,2018-04-19,7063209984,8294.31,Extreme Fear
79,2018-04-20,8438110208,8845.83,Fear
80,2018-04-21,7548550144,8895.58,Fear
81,2018-04-22,6629899776,8802.46,Fear
82,2018-04-23,6925190144,8930.88,Fear
83,2018-04-24,10678800384,9697.50,Fear
84,2018-04-25,11083100160,8845.74,Greed
85,2018-04-26,8970559488,9281.51,Neutral
86,2018-04-27,7566289920,8987.05,Greed
87,2018-04-28,7805479936,9348.48,Neutral
88,2018-04-29,8853000192,9419.08,Greed
89,2018-04-30,8673920000,9240.55,Greed
90,2018-05-01,7713019904,9119.01,Greed
91,2018-05-02,7558159872,9235.92,Neutral
92,2018-05-03,10207299584,9743.86,Greed
93,2018-05-04,8217829888,9700.76,Greed
94,2018-05-05,7651939840,9858.15,Greed
95,2018-05-06,7222280192,9654.80,Greed
96,2018-05-07,7394019840,9373.01,Greed
97,2018-05-08,7415869952,9234.82,Greed
98,2018-05-09,7226890240,9325.18,Neutral
99,2018-05-10,6906699776,9043.94,Greed
100,2018-05-11,8488520192,8441.49,Fear
101,2018-05-12,6821380096,8504.89,Fear
102,2018-05-13,5866379776,8723.94,Fear
103,2018-05-14,7364149760,8716.79,Fear
104,2018-05-15,6705710080,8510.38,Fear
105,2018-05-16,6760220160,8368.83,Fear
106,2018-05-17,5862530048,8094.32,Fear
107,2018-05-18,5764190208,8250.97,Fear
108,2018-05-19,4712399872,8247.18,Fear
109,2018-05-20,5191059968,8513.25,Fear
110,2018-05-21,5154990080,8418.99,Fear
111,2018-05-22,5137010176,8041.78,Fear
112,2018-05-23,6491120128,7557.82,Fear
113,2018-05-24,6049220096,7587.34,Fear
114,2018-05-25,4867829760,7480.14,Extreme Fear
115,2018-05-26,4051539968,7355.88,Extreme Fear
116,2018-05-27,4056519936,7368.22,Extreme Fear
117,2018-05-28,5040600064,7135.99,Extreme Fear
118,2018-05-29,5662660096,7472.59,Extreme Fear
119,2018-05-30,4922540032,7406.52,Fear
120,2018-05-31,5127130112,7494.17,Extreme Fear
121,2018-06-01,4921460224,7541.45,Extreme Fear
122,2018-06-02,4939299840,7643.45,Fear
123,2018-06-03,4851760128,7720.25,Fear
124,2018-06-04,4993169920,7514.47,Fear
125,2018-06-05,4961739776,7633.76,Fear
126,2018-06-06,4692259840,7653.98,Fear
127,2018-06-07,4485799936,7678.24,Fear
128,2018-06-08,4227579904,7624.92,Fear
129,2018-06-09,3845220096,7531.98,Fear
130,2018-06-10,5804839936,6786.02,Extreme Fear
131,2018-06-11,4745269760,6906.92,Extreme Fear
132,2018-06-12,4654380032,6582.36,Extreme Fear
133,2018-06-13,5052349952,6349.90,Extreme Fear
134,2018-06-14,5138710016,6675.35,Extreme Fear
135,2018-06-15,3955389952,6456.58,Fear
136,2018-06-16,3194170112,6550.16,Extreme Fear
137,2018-06-17,3104019968,6499.27,Extreme Fear
138,2018-06-18,4039200000,6734.82,Fear
139,2018-06-19,4057029888,6769.94,Fear
140,2018-06-20,3888640000,6776.55,Fear
141,2018-06-21,3529129984,6729.74,Fear
142,2018-06-22,5079810048,6083.69,Fear
143,2018-06-23,3431360000,6162.48,Extreme Fear
144,2018-06-24,4566909952,6173.23,Extreme Fear
145,2018-06-25,5500810240,6249.18,Extreme Fear
146,2018-06-26,3279759872,6093.67,Extreme Fear
147,2018-06-27,3296219904,6157.13,Extreme Fear
148,2018-06-28,3467800064,5903.44,Extreme Fear
149,2018-06-29,3966230016,6218.30,Extreme Fear
150,2018-06-30,4543860224,6404.00,Extreme Fear
151,2018-07-01,4788259840,6385.82,Fear
152,2018-07-02,4396930048,6614.18,Fear
153,2018-07-03,4672309760,6529.59,Fear
154,2018-07-04,4176689920,6597.55,Fear
155,2018-07-05,4999240192,6639.14,Fear
156,2018-07-06,4313959936,6673.50,Fear
157,2018-07-07,3961080064,6856.93,Fear
158,2018-07-08,3386210048,6773.88,Fear
159,2018-07-09,3718129920,6741.75,Fear
160,2018-07-10,4052430080,6329.95,Fear
161,2018-07-11,3644859904,6394.71,Fear
162,2018-07-12,3770170112,6228.81,Fear
163,2018-07-13,3805400064,6238.05,Fear
164,2018-07-14,2923670016,6276.12,Fear
165,2018-07-15,3285459968,6359.64,Fear
166,2018-07-16,4725799936,6741.75,Fear
167,2018-07-17,5961950208,7321.04,Fear
168,2018-07-18,6103410176,7370.78,Fear
169,2018-07-19,5111629824,7466.86,Fear
170,2018-07-20,4936869888,7354.13,Neutral
171,2018-07-21,3726609920,7419.29,Fear
172,2018-07-22,3695460096,7418.49,Fear
173,2018-07-23,5132480000,7711.11,Fear
174,2018-07-24,7277689856,8424.27,Neutral
175,2018-07-25,5845400064,8181.39,Neutral
176,2018-07-26,4899089920,7951.58,Neutral
177,2018-07-27,5195879936,8165.01,Neutral
178,2018-07-28,3988750080,8192.15,Neutral
179,2018-07-29,4107190016,8218.46,Neutral
180,2018-07-30,5551400000,8180.48,Neutral
181,2018-07-31,5287530000,7780.44,Neutral
182,2018-08-01,4797620000,7624.91,Fear
183,2018-08-02,4214110000,7567.15,Fear
184,2018-08-03,4627150000,7434.39,Fear
185,2018-08-04,4268390000,7032.85,Fear
186,2018-08-05,3679110000,7068.48,Extreme Fear
187,2018-08-06,3925900000,6951.80,Extreme Fear
188,2018-08-07,4682800000,6753.12,Extreme Fear
189,2018-08-08,5064430000,6305.80,Extreme Fear
190,2018-08-09,4267040000,6568.23,Extreme Fear
191,2018-08-10,4528680000,6184.71,Extreme Fear
192,2018-08-11,4047850000,6295.73,Extreme Fear
193,2018-08-12,5665250000,6322.69,Extreme Fear
194,2018-08-13,4083980000,6297.57,Extreme Fear
195,2018-08-14,5301700000,6199.71,Extreme Fear
196,2018-08-15,4895450000,6308.52,Extreme Fear
197,2018-08-16,4328420000,6334.73,Extreme Fear
198,2018-08-17,4992990000,6580.63,Extreme Fear
199,2018-08-18,3984520000,6423.76,Extreme Fear
200,2018-08-19,3311170000,6506.07,Fear
201,2018-08-20,3665100000,6308.53,Fear
202,2018-08-21,3377180000,6488.76,Extreme Fear
203,2018-08-22,4668110000,6376.71,Extreme Fear
204,2018-08-23,3426180000,6534.88,Extreme Fear
205,2018-08-24,4097820000,6719.96,Extreme Fear
206,2018-08-25,3312600000,6763.19,Extreme Fear
207,2018-08-26,3295500000,6707.26,Extreme Fear
208,2018-08-27,4019000000,6884.64,Extreme Fear
209,2018-08-28,4659940000,7096.28,Extreme Fear
210,2018-08-29,4145880000,7047.16,Extreme Fear
211,2018-08-30,4463250000,6978.23,Extreme Fear
212,2018-08-31,4495650000,7037.58,Extreme Fear
213,2018-09-01,4116050000,7193.25,Extreme Fear
214,2018-09-02,4329540000,7272.72,Extreme Fear
215,2018-09-03,4087760000,7260.06,Extreme Fear
216,2018-09-04,4273640000,7361.66,Fear
217,2018-09-05,5800460000,6792.83,Extreme Fear
218,2018-09-06,5523470000,6529.17,Extreme Fear
219,2018-09-07,4264680000,6467.07,Extreme Fear
220,2018-09-08,3835060000,6225.98,Extreme Fear
221,2018-09-09,3671890000,6300.86,Extreme Fear
222,2018-09-10,3714100000,6329.70,Extreme Fear
223,2018-09-11,3849910000,6321.20,Extreme Fear
224,2018-09-12,4064230000,6351.80,Extreme Fear
225,2018-09-13,4210910000,6517.31,Extreme Fear
226,2018-09-14,4076220000,6512.71,Extreme Fear
227,2018-09-15,3216300000,6543.20,Extreme Fear
228,2018-09-16,3273730000,6517.18,Fear
229,2018-09-17,3910780000,6281.20,Extreme Fear
230,2018-09-18,4180090000,6371.30,Extreme Fear
231,2018-09-19,4431340000,6398.54,Extreme Fear
232,2018-09-20,4348110000,6519.67,Extreme Fear
233,2018-09-21,6531940000,6734.95,Fear
234,2018-09-22,4509660000,6721.98,Fear
235,2018-09-23,4197500000,6710.63,Fear
236,2018-09-24,4177310000,6595.41,Fear
237,2018-09-25,4726180000,6446.47,Fear
238,2018-09-26,4437300000,6495.00,Fear
239,2018-09-27,4606810000,6676.75,Fear
240,2018-09-28,5014430000,6644.13,Fear
241,2018-09-29,4363690000,6601.96,Fear
242,2018-09-30,4002280000,6625.56,Fear
243,2018-10-01,4000970000,6589.62,Fear
244,2018-10-02,3979260000,6556.10,Fear
245,2018-10-03,3887310000,6502.59,Fear
246,2018-10-04,3838410000,6576.69,Fear
247,2018-10-05,3671500000,6622.48,Fear
248,2018-10-06,3259740000,6588.31,Fear
249,2018-10-07,3306630000,6602.95,Fear
250,2018-10-08,3979460000,6652.23,Fear
251,2018-10-09,3580810000,6642.64,Fear
252,2018-10-10,3787650000,6585.53,Fear
253,2018-10-11,5181640000,6256.24,Extreme Fear
254,2018-10-12,3783500000,6274.58,Extreme Fear
255,2018-10-13,3064030000,6285.99,Extreme Fear
256,2018-10-14,3085320000,6290.93,Extreme Fear
257,2018-10-15,7370770000,6596.54,Extreme Fear
258,2018-10-16,4074800000,6596.11,Extreme Fear
259,2018-10-17,4088420000,6544.43,Extreme Fear
260,2018-10-18,3924080000,6476.71,Fear
261,2018-10-19,3578870000,6465.41,Extreme Fear
262,2018-10-20,3379130000,6489.19,Extreme Fear
263,2018-10-21,3253610000,6482.35,Extreme Fear
264,2018-10-22,3672860000,6487.16,Fear
265,2018-10-23,3716150000,6475.74,Extreme Fear
266,2018-10-24,3424670000,6495.84,Extreme Fear
267,2018-10-25,3230550000,6476.29,Extreme Fear
268,2018-10-26,3306050000,6474.75,Fear
269,2018-10-27,3393250000,6480.38,Fear
270,2018-10-28,3445190000,6486.39,Fear
271,2018-10-29,4199910000,6332.63,Fear
272,2018-10-30,3781100000,6334.27,Fear
273,2018-10-31,4191240000,6317.61,Fear
274,2018-11-01,3789400000,6377.78,Fear
275,2018-11-02,4234870000,6388.44,Fear
276,2018-11-03,3658640000,6361.26,Fear
277,2018-11-04,4390020000,6376.13,Fear
278,2018-11-05,4174800000,6419.66,Fear
279,2018-11-06,4700040000,6461.01,Fear
280,2018-11-07,4941260000,6530.14,Neutral
281,2018-11-08,4665260000,6453.72,Neutral
282,2018-11-09,4346820000,6385.62,Neutral
283,2018-11-10,3705320000,6409.22,Neutral
284,2018-11-11,3939060000,6411.27,Neutral
285,2018-11-12,4295770000,6371.27,Neutral
286,2018-11-13,4503800000,6359.49,Greed
287,2018-11-14,7398940000,5738.35,Neutral
288,2018-11-15,7032140000,5648.03,Fear
289,2018-11-16,5279320000,5575.55,Extreme Fear
290,2018-11-17,4303150000,5554.33,Extreme Fear
291,2018-11-18,4159680000,5623.54,Fear
292,2018-11-19,7039560000,4871.49,Fear
293,2018-11-20,8428290000,4451.87,Extreme Fear
294,2018-11-21,6120120000,4602.17,Extreme Fear
295,2018-11-22,4569370000,4365.94,Extreme Fear
296,2018-11-23,4871490000,4347.11,Extreme Fear
297,2018-11-24,4679500000,3880.76,Extreme Fear
298,2018-11-25,6825640000,4009.97,Extreme Fear
299,2018-11-26,6476900000,3779.13,Extreme Fear
300,2018-11-27,5998720000,3820.72,Extreme Fear
301,2018-11-28,7280280000,4257.42,Extreme Fear
